SISTEMA -> CPU: 81.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 00:07:34
SISTEMA -> CPU: 90.2% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 00:14:16
SISTEMA -> CPU: 90.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 00:20:58
SISTEMA -> CPU: 90.1% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 00:27:41
SISTEMA -> CPU: 90.2% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 00:34:27
SISTEMA -> CPU: 90.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 00:41:08
SISTEMA -> CPU: 90.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 00:47:49
SISTEMA -> CPU: 90.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 00:54:31
SISTEMA -> CPU: 90.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 01:01:12
SISTEMA -> CPU: 90.2% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 01:07:57
SISTEMA -> CPU: 90.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 01:14:39
SISTEMA -> CPU: 90.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 01:21:22
SISTEMA -> CPU: 90.2% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 01:28:08
SISTEMA -> CPU: 90.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 01:34:50
SISTEMA -> CPU: 90.1% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 01:41:33
SISTEMA -> CPU: 90.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 01:48:16
SISTEMA -> CPU: 90.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 01:54:59
SISTEMA -> CPU: 90.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 02:01:40
SISTEMA -> CPU: 90.1% | RAM: 78.9% | Temp: 27.8°C | Tiempo: 02:08:23
SISTEMA -> CPU: 90.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:15:06
SISTEMA -> CPU: 90.2% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 02:21:51
SISTEMA -> CPU: 90.2% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 02:28:36
SISTEMA -> CPU: 90.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 02:35:19
SISTEMA -> CPU: 90.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 02:42:01
SISTEMA -> CPU: 90.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:48:44
SISTEMA -> CPU: 90.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:55:26
SISTEMA -> CPU: 90.1% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 03:02:09
SISTEMA -> CPU: 90.1% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 03:08:52
SISTEMA -> CPU: 90.2% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 03:15:36
SISTEMA -> CPU: 90.1% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 03:22:18
SISTEMA -> CPU: 90.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 03:29:01
SISTEMA -> CPU: 90.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 03:35:43
SISTEMA -> CPU: 90.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 03:42:25
SISTEMA -> CPU: 90.1% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 03:49:08
SISTEMA -> CPU: 90.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 03:55:50
SISTEMA -> CPU: 90.2% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 04:02:37
SISTEMA -> CPU: 90.1% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 04:09:20
SISTEMA -> CPU: 90.0% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 04:15:56
SISTEMA -> CPU: 90.0% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 04:22:32
SISTEMA -> CPU: 90.1% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 04:29:11
SISTEMA -> CPU: 90.2% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 04:35:53
SISTEMA -> CPU: 90.0% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 04:42:30
SISTEMA -> CPU: 90.0% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 04:49:08
SISTEMA -> CPU: 90.0% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 04:55:47
SISTEMA -> CPU: 90.2% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 05:02:29
SISTEMA -> CPU: 90.1% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 05:09:08
SISTEMA -> CPU: 90.0% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 05:15:46
SISTEMA -> CPU: 90.1% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 05:22:26
SISTEMA -> CPU: 90.1% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 05:29:07
SISTEMA -> CPU: 90.1% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 05:35:46
SISTEMA -> CPU: 90.0% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 05:42:22
SISTEMA -> CPU: 90.0% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 05:48:57
SISTEMA -> CPU: 90.0% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 05:55:34
SISTEMA -> CPU: 90.0% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 06:02:11
SISTEMA -> CPU: 90.0% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 06:08:48
SISTEMA -> CPU: 90.1% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 06:15:27
SISTEMA -> CPU: 89.9% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 06:22:01
SISTEMA -> CPU: 90.0% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 06:28:37
SISTEMA -> CPU: 90.0% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 06:35:13
SISTEMA -> CPU: 90.1% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 06:41:51
SISTEMA -> CPU: 90.1% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 06:48:29
SISTEMA -> CPU: 90.0% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 06:55:06
SISTEMA -> CPU: 90.0% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 07:01:44
SISTEMA -> CPU: 90.0% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 07:08:21
SISTEMA -> CPU: 90.1% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 07:15:00
SISTEMA -> CPU: 90.0% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 07:21:38
SISTEMA -> CPU: 90.1% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 07:28:17
SISTEMA -> CPU: 90.0% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 07:34:55
SISTEMA -> CPU: 90.0% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 07:41:32
SISTEMA -> CPU: 90.0% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 07:48:10
SISTEMA -> CPU: 90.0% | RAM: 81.4% | Temp: 27.8°C | Tiempo: 07:54:48
SISTEMA -> CPU: 90.0% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 08:01:25
SISTEMA -> CPU: 90.0% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 08:08:01
SISTEMA -> CPU: 90.0% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 08:14:40
SISTEMA -> CPU: 90.1% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 08:21:19
SISTEMA -> CPU: 90.1% | RAM: 81.0% | Temp: 27.8°C | Tiempo: 08:27:59
SISTEMA -> CPU: 90.1% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 08:34:37
SISTEMA -> CPU: 90.1% | RAM: 81.0% | Temp: 27.8°C | Tiempo: 08:41:15
SISTEMA -> CPU: 90.0% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 08:47:53
SISTEMA -> CPU: 90.1% | RAM: 81.0% | Temp: 27.8°C | Tiempo: 08:54:32
SISTEMA -> CPU: 90.1% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 09:01:09
SISTEMA -> CPU: 90.2% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 09:07:51
SISTEMA -> CPU: 90.0% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 09:14:29
SISTEMA -> CPU: 90.0% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 09:21:06
SISTEMA -> CPU: 90.1% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 09:27:44
SISTEMA -> CPU: 90.2% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 09:34:28
SISTEMA -> CPU: 90.1% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 09:41:07
SISTEMA -> CPU: 90.0% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 09:47:44
SISTEMA -> CPU: 90.1% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 09:54:24
SISTEMA -> CPU: 90.1% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 10:01:02
SISTEMA -> CPU: 90.0% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 10:07:40
SISTEMA -> CPU: 90.0% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 10:14:17
SISTEMA -> CPU: 90.1% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 10:20:57
SISTEMA -> CPU: 90.1% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 10:27:35
SISTEMA -> CPU: 90.2% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 10:34:16
SISTEMA -> CPU: 90.1% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 10:40:54
SISTEMA -> CPU: 90.1% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 10:47:33
SISTEMA -> CPU: 90.1% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 10:54:10
SISTEMA -> CPU: 90.1% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 11:00:48
SISTEMA -> CPU: 90.0% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 11:07:26
