SISTEMA -> CPU: 79.7% | RAM: 78.2% | Temp: 27.8°C | Tiempo: 00:06:50
SISTEMA -> CPU: 89.1% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 00:12:49
SISTEMA -> CPU: 89.4% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 00:18:57
SISTEMA -> CPU: 89.1% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 00:24:57
SISTEMA -> CPU: 89.1% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 00:30:58
SISTEMA -> CPU: 89.0% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 00:36:58
SISTEMA -> CPU: 89.1% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 00:42:58
SISTEMA -> CPU: 89.0% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 00:48:58
SISTEMA -> CPU: 89.1% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 00:54:59
SISTEMA -> CPU: 89.1% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 01:00:58
SISTEMA -> CPU: 88.9% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 01:06:55
SISTEMA -> CPU: 89.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 01:12:54
SISTEMA -> CPU: 89.0% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 01:18:54
SISTEMA -> CPU: 89.0% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 01:24:54
SISTEMA -> CPU: 89.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 01:30:55
SISTEMA -> CPU: 89.0% | RAM: 77.9% | Temp: 27.8°C | Tiempo: 01:36:52
SISTEMA -> CPU: 89.0% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 01:42:51
SISTEMA -> CPU: 89.0% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 01:48:51
SISTEMA -> CPU: 89.0% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 01:54:50
SISTEMA -> CPU: 89.0% | RAM: 77.8% | Temp: 27.8°C | Tiempo: 02:00:48
SISTEMA -> CPU: 89.0% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 02:06:46
SISTEMA -> CPU: 89.0% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 02:12:44
SISTEMA -> CPU: 89.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 02:18:44
SISTEMA -> CPU: 88.9% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 02:24:41
SISTEMA -> CPU: 89.0% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 02:30:39
SISTEMA -> CPU: 89.1% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 02:36:39
SISTEMA -> CPU: 89.1% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 02:42:40
SISTEMA -> CPU: 89.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:48:41
SISTEMA -> CPU: 89.0% | RAM: 77.9% | Temp: 27.8°C | Tiempo: 02:54:39
SISTEMA -> CPU: 89.1% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 03:00:41
SISTEMA -> CPU: 89.0% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 03:06:38
SISTEMA -> CPU: 89.5% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 03:12:53
SISTEMA -> CPU: 89.2% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 03:18:57
SISTEMA -> CPU: 89.0% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 03:24:57
SISTEMA -> CPU: 89.2% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 03:31:03
SISTEMA -> CPU: 89.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 03:37:04
SISTEMA -> CPU: 89.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 03:43:06
SISTEMA -> CPU: 89.1% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 03:49:07
SISTEMA -> CPU: 89.7% | RAM: 78.0% | Temp: 27.8°C | Tiempo: 03:55:28
SISTEMA -> CPU: 89.2% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 04:01:32
SISTEMA -> CPU: 89.0% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 04:07:31
SISTEMA -> CPU: 89.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 04:13:32
SISTEMA -> CPU: 89.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 04:19:33
SISTEMA -> CPU: 89.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 04:25:33
SISTEMA -> CPU: 89.1% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 04:31:35
SISTEMA -> CPU: 89.1% | RAM: 78.2% | Temp: 27.8°C | Tiempo: 04:37:34
SISTEMA -> CPU: 89.0% | RAM: 78.9% | Temp: 27.8°C | Tiempo: 04:43:34
SISTEMA -> CPU: 89.0% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 04:49:34
SISTEMA -> CPU: 89.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 04:55:34
SISTEMA -> CPU: 89.1% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 05:01:35
SISTEMA -> CPU: 89.1% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 05:07:35
SISTEMA -> CPU: 89.0% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 05:13:35
SISTEMA -> CPU: 89.1% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 05:19:37
SISTEMA -> CPU: 89.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 05:25:37
SISTEMA -> CPU: 89.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 05:31:38
SISTEMA -> CPU: 89.1% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 05:37:38
SISTEMA -> CPU: 89.0% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 05:43:38
SISTEMA -> CPU: 89.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 05:49:37
SISTEMA -> CPU: 89.0% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 05:55:36
SISTEMA -> CPU: 89.0% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 06:01:34
SISTEMA -> CPU: 89.0% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 06:07:33
SISTEMA -> CPU: 89.2% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 06:13:36
SISTEMA -> CPU: 89.2% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 06:19:39
SISTEMA -> CPU: 89.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 06:25:40
SISTEMA -> CPU: 89.1% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 06:31:42
SISTEMA -> CPU: 89.2% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 06:37:44
SISTEMA -> CPU: 89.2% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 06:43:48
SISTEMA -> CPU: 89.1% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 06:49:50
SISTEMA -> CPU: 89.1% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 06:55:50
SISTEMA -> CPU: 89.0% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 07:01:49
SISTEMA -> CPU: 89.2% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 07:07:51
SISTEMA -> CPU: 89.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 07:13:53
SISTEMA -> CPU: 89.2% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 07:19:55
SISTEMA -> CPU: 89.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 07:25:56
SISTEMA -> CPU: 89.1% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 07:31:56
SISTEMA -> CPU: 89.1% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 07:37:58
SISTEMA -> CPU: 89.1% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 07:43:59
SISTEMA -> CPU: 89.1% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 07:50:01
