SISTEMA -> CPU: 78.8% | RAM: 76.7% | Temp: 27.8°C | Tiempo: 00:06:32
SISTEMA -> CPU: 88.6% | RAM: 77.3% | Temp: 27.8°C | Tiempo: 00:12:17
SISTEMA -> CPU: 88.6% | RAM: 76.9% | Temp: 27.8°C | Tiempo: 00:18:04
SISTEMA -> CPU: 88.5% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 00:23:49
SISTEMA -> CPU: 88.5% | RAM: 76.6% | Temp: 27.8°C | Tiempo: 00:29:32
SISTEMA -> CPU: 88.5% | RAM: 77.5% | Temp: 27.8°C | Tiempo: 00:35:17
SISTEMA -> CPU: 88.6% | RAM: 77.0% | Temp: 27.8°C | Tiempo: 00:41:02
SISTEMA -> CPU: 88.5% | RAM: 77.2% | Temp: 27.8°C | Tiempo: 00:46:47
SISTEMA -> CPU: 88.6% | RAM: 76.7% | Temp: 27.8°C | Tiempo: 00:52:33
SISTEMA -> CPU: 88.5% | RAM: 76.9% | Temp: 27.8°C | Tiempo: 00:58:16
SISTEMA -> CPU: 88.4% | RAM: 77.0% | Temp: 27.8°C | Tiempo: 01:03:58
SISTEMA -> CPU: 88.6% | RAM: 77.0% | Temp: 27.8°C | Tiempo: 01:09:42
SISTEMA -> CPU: 88.6% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 01:15:29
SISTEMA -> CPU: 88.4% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 01:21:12
SISTEMA -> CPU: 88.7% | RAM: 77.8% | Temp: 27.8°C | Tiempo: 01:26:59
SISTEMA -> CPU: 88.5% | RAM: 76.8% | Temp: 27.8°C | Tiempo: 01:32:44
SISTEMA -> CPU: 88.4% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 01:38:29
SISTEMA -> CPU: 88.5% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 01:44:14
SISTEMA -> CPU: 88.6% | RAM: 78.2% | Temp: 27.8°C | Tiempo: 01:49:59
SISTEMA -> CPU: 88.5% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 01:55:44
SISTEMA -> CPU: 88.5% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 02:01:26
SISTEMA -> CPU: 88.8% | RAM: 77.9% | Temp: 27.8°C | Tiempo: 02:07:18
SISTEMA -> CPU: 88.7% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 02:13:08
SISTEMA -> CPU: 88.6% | RAM: 77.9% | Temp: 27.8°C | Tiempo: 02:18:54
SISTEMA -> CPU: 88.5% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 02:24:39
SISTEMA -> CPU: 88.6% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 02:30:24
SISTEMA -> CPU: 88.5% | RAM: 77.5% | Temp: 27.8°C | Tiempo: 02:36:09
SISTEMA -> CPU: 88.5% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 02:41:52
SISTEMA -> CPU: 88.6% | RAM: 77.8% | Temp: 27.8°C | Tiempo: 02:47:37
SISTEMA -> CPU: 88.5% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 02:53:21
SISTEMA -> CPU: 88.6% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 02:59:07
SISTEMA -> CPU: 88.6% | RAM: 77.9% | Temp: 27.8°C | Tiempo: 03:04:54
SISTEMA -> CPU: 88.5% | RAM: 77.7% | Temp: 27.8°C | Tiempo: 03:10:37
SISTEMA -> CPU: 88.6% | RAM: 77.8% | Temp: 27.8°C | Tiempo: 03:16:25
SISTEMA -> CPU: 88.5% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 03:22:10
