SISTEMA -> CPU: 72.9% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:00:14
SISTEMA -> CPU: 97.5% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:00:25
SISTEMA -> CPU: 97.6% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:00:37
SISTEMA -> CPU: 97.6% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:00:49
SISTEMA -> CPU: 97.6% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:01:00
SISTEMA -> CPU: 97.5% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:01:11
SISTEMA -> CPU: 97.6% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:01:23
SISTEMA -> CPU: 97.4% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:01:34
SISTEMA -> CPU: 97.7% | RAM: 38.4% | Temp: 27.8°C | Tiempo: 00:01:45
SISTEMA -> CPU: 97.7% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:01:57
SISTEMA -> CPU: 97.7% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:02:08
SISTEMA -> CPU: 98.4% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:02:20
SISTEMA -> CPU: 97.7% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:02:31
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:02:43
SISTEMA -> CPU: 97.6% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:02:55
SISTEMA -> CPU: 97.5% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:03:06
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:03:17
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:03:28
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:03:40
SISTEMA -> CPU: 97.7% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:03:51
SISTEMA -> CPU: 97.7% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:04:03
SISTEMA -> CPU: 97.5% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:04:14
SISTEMA -> CPU: 97.5% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:04:25
SISTEMA -> CPU: 97.5% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:04:36
SISTEMA -> CPU: 97.6% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:04:47
