SISTEMA -> CPU: 76.8% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:00:16
SISTEMA -> CPU: 97.6% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:00:28
SISTEMA -> CPU: 97.7% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:00:40
SISTEMA -> CPU: 97.7% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:00:53
SISTEMA -> CPU: 97.7% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:01:05
SISTEMA -> CPU: 97.7% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:01:17
SISTEMA -> CPU: 97.7% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:01:28
SISTEMA -> CPU: 97.7% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:01:40
SISTEMA -> CPU: 97.9% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:01:53
SISTEMA -> CPU: 97.8% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:02:05
SISTEMA -> CPU: 97.8% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:02:17
SISTEMA -> CPU: 98.5% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:02:30
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:02:42
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:02:54
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:03:07
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:03:18
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:03:30
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:03:43
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:03:55
SISTEMA -> CPU: 97.9% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:04:08
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:04:20
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:04:32
SISTEMA -> CPU: 97.7% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:04:44
SISTEMA -> CPU: 97.8% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:04:56
SISTEMA -> CPU: 97.9% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:05:08
SISTEMA -> CPU: 98.1% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:05:20
SISTEMA -> CPU: 98.4% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:05:32
SISTEMA -> CPU: 97.7% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:05:44
SISTEMA -> CPU: 97.8% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:05:56
SISTEMA -> CPU: 97.8% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:06:09
SISTEMA -> CPU: 97.8% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:06:21
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:06:34
SISTEMA -> CPU: 97.7% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:06:45
SISTEMA -> CPU: 97.8% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:06:58
SISTEMA -> CPU: 97.8% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:07:10
SISTEMA -> CPU: 97.9% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:07:22
SISTEMA -> CPU: 97.8% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:07:35
SISTEMA -> CPU: 97.8% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:07:47
SISTEMA -> CPU: 98.4% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:07:59
SISTEMA -> CPU: 97.9% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:08:12
SISTEMA -> CPU: 97.8% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:08:25
SISTEMA -> CPU: 97.7% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:08:37
SISTEMA -> CPU: 97.7% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:08:49
SISTEMA -> CPU: 97.8% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:09:01
SISTEMA -> CPU: 97.7% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:09:13
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:09:26
SISTEMA -> CPU: 97.8% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:09:38
SISTEMA -> CPU: 97.8% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:09:50
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:10:02
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:10:14
SISTEMA -> CPU: 97.7% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:10:26
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:10:38
SISTEMA -> CPU: 97.7% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:10:50
SISTEMA -> CPU: 98.5% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:11:03
SISTEMA -> CPU: 98.0% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:11:15
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:11:28
SISTEMA -> CPU: 97.8% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:11:40
