SISTEMA -> CPU: 78.9% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:00:22
SISTEMA -> CPU: 97.9% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:00:36
SISTEMA -> CPU: 98.0% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:00:51
SISTEMA -> CPU: 98.0% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:01:07
SISTEMA -> CPU: 98.1% | RAM: 61.8% | Temp: 27.8°C | Tiempo: 00:01:23
SISTEMA -> CPU: 97.9% | RAM: 61.5% | Temp: 27.8°C | Tiempo: 00:01:37
SISTEMA -> CPU: 98.0% | RAM: 61.4% | Temp: 27.8°C | Tiempo: 00:01:53
SISTEMA -> CPU: 98.0% | RAM: 61.1% | Temp: 27.8°C | Tiempo: 00:02:08
SISTEMA -> CPU: 97.9% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:02:23
SISTEMA -> CPU: 98.0% | RAM: 61.5% | Temp: 27.8°C | Tiempo: 00:02:38
SISTEMA -> CPU: 98.0% | RAM: 61.4% | Temp: 27.8°C | Tiempo: 00:02:53
SISTEMA -> CPU: 98.0% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:03:08
SISTEMA -> CPU: 98.0% | RAM: 61.4% | Temp: 27.8°C | Tiempo: 00:03:23
SISTEMA -> CPU: 98.6% | RAM: 61.2% | Temp: 27.8°C | Tiempo: 00:03:38
SISTEMA -> CPU: 98.0% | RAM: 61.5% | Temp: 27.8°C | Tiempo: 00:03:53
SISTEMA -> CPU: 98.1% | RAM: 61.1% | Temp: 27.8°C | Tiempo: 00:04:09
SISTEMA -> CPU: 98.0% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:04:24
SISTEMA -> CPU: 97.9% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:04:39
SISTEMA -> CPU: 98.0% | RAM: 61.0% | Temp: 27.8°C | Tiempo: 00:04:55
SISTEMA -> CPU: 98.1% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:05:10
SISTEMA -> CPU: 98.0% | RAM: 61.4% | Temp: 27.8°C | Tiempo: 00:05:26
SISTEMA -> CPU: 98.0% | RAM: 61.0% | Temp: 27.8°C | Tiempo: 00:05:41
SISTEMA -> CPU: 98.1% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:05:57
SISTEMA -> CPU: 98.1% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:06:12
SISTEMA -> CPU: 98.0% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:06:28
SISTEMA -> CPU: 98.1% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:06:43
SISTEMA -> CPU: 98.7% | RAM: 62.0% | Temp: 27.8°C | Tiempo: 00:06:59
SISTEMA -> CPU: 98.0% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:07:14
SISTEMA -> CPU: 98.1% | RAM: 61.5% | Temp: 27.8°C | Tiempo: 00:07:29
SISTEMA -> CPU: 98.1% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:07:45
SISTEMA -> CPU: 98.0% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:08:00
SISTEMA -> CPU: 98.0% | RAM: 61.5% | Temp: 27.8°C | Tiempo: 00:08:15
SISTEMA -> CPU: 98.1% | RAM: 61.5% | Temp: 27.8°C | Tiempo: 00:08:31
SISTEMA -> CPU: 98.0% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:08:46
SISTEMA -> CPU: 98.1% | RAM: 61.4% | Temp: 27.8°C | Tiempo: 00:09:02
SISTEMA -> CPU: 98.1% | RAM: 61.4% | Temp: 27.8°C | Tiempo: 00:09:17
SISTEMA -> CPU: 98.1% | RAM: 61.0% | Temp: 27.8°C | Tiempo: 00:09:32
SISTEMA -> CPU: 98.0% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:09:47
SISTEMA -> CPU: 98.1% | RAM: 61.3% | Temp: 27.8°C | Tiempo: 00:10:02
SISTEMA -> CPU: 98.0% | RAM: 61.1% | Temp: 27.8°C | Tiempo: 00:10:18
SISTEMA -> CPU: 98.6% | RAM: 61.0% | Temp: 27.8°C | Tiempo: 00:10:33
SISTEMA -> CPU: 98.1% | RAM: 61.2% | Temp: 27.8°C | Tiempo: 00:10:48
SISTEMA -> CPU: 98.0% | RAM: 60.8% | Temp: 27.8°C | Tiempo: 00:11:03
SISTEMA -> CPU: 98.0% | RAM: 60.8% | Temp: 27.8°C | Tiempo: 00:11:18
SISTEMA -> CPU: 98.0% | RAM: 61.1% | Temp: 27.8°C | Tiempo: 00:11:34
SISTEMA -> CPU: 98.0% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:11:49
SISTEMA -> CPU: 98.1% | RAM: 61.1% | Temp: 27.8°C | Tiempo: 00:12:04
SISTEMA -> CPU: 98.0% | RAM: 61.2% | Temp: 27.8°C | Tiempo: 00:12:19
SISTEMA -> CPU: 98.0% | RAM: 61.6% | Temp: 27.8°C | Tiempo: 00:12:35
SISTEMA -> CPU: 98.0% | RAM: 61.8% | Temp: 27.8°C | Tiempo: 00:12:50
SISTEMA -> CPU: 98.0% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:13:05
SISTEMA -> CPU: 98.1% | RAM: 61.2% | Temp: 27.8°C | Tiempo: 00:13:20
SISTEMA -> CPU: 98.3% | RAM: 62.2% | Temp: 27.8°C | Tiempo: 00:13:40
SISTEMA -> CPU: 98.9% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:14:05
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:14:26
SISTEMA -> CPU: 98.4% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:14:48
SISTEMA -> CPU: 98.5% | RAM: 62.0% | Temp: 27.8°C | Tiempo: 00:15:09
SISTEMA -> CPU: 98.4% | RAM: 62.0% | Temp: 27.8°C | Tiempo: 00:15:31
SISTEMA -> CPU: 98.5% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:15:53
SISTEMA -> CPU: 98.5% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:16:15
SISTEMA -> CPU: 98.4% | RAM: 62.2% | Temp: 27.8°C | Tiempo: 00:16:37
SISTEMA -> CPU: 98.6% | RAM: 62.2% | Temp: 27.8°C | Tiempo: 00:17:00
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:17:21
SISTEMA -> CPU: 98.5% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:17:43
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:18:05
SISTEMA -> CPU: 99.0% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:18:41
SISTEMA -> CPU: 99.0% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:19:03
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:19:24
SISTEMA -> CPU: 98.7% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:19:49
SISTEMA -> CPU: 98.5% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:20:10
SISTEMA -> CPU: 98.4% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:20:31
SISTEMA -> CPU: 98.6% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:20:54
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:21:17
SISTEMA -> CPU: 98.4% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:21:38
SISTEMA -> CPU: 98.5% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:22:01
SISTEMA -> CPU: 98.5% | RAM: 62.1% | Temp: 27.8°C | Tiempo: 00:22:23
SISTEMA -> CPU: 98.6% | RAM: 62.9% | Temp: 27.8°C | Tiempo: 00:22:45
SISTEMA -> CPU: 98.5% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:23:07
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:23:29
SISTEMA -> CPU: 98.9% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:23:51
SISTEMA -> CPU: 98.5% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:24:13
SISTEMA -> CPU: 98.5% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:24:35
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:24:56
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:25:18
SISTEMA -> CPU: 98.4% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:25:39
SISTEMA -> CPU: 98.6% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:26:01
SISTEMA -> CPU: 98.5% | RAM: 61.8% | Temp: 27.8°C | Tiempo: 00:26:22
SISTEMA -> CPU: 98.5% | RAM: 61.7% | Temp: 27.8°C | Tiempo: 00:26:44
SISTEMA -> CPU: 98.5% | RAM: 62.1% | Temp: 27.8°C | Tiempo: 00:27:06
SISTEMA -> CPU: 98.5% | RAM: 62.1% | Temp: 27.8°C | Tiempo: 00:27:27
SISTEMA -> CPU: 98.5% | RAM: 62.2% | Temp: 27.8°C | Tiempo: 00:27:48
SISTEMA -> CPU: 98.5% | RAM: 62.2% | Temp: 27.8°C | Tiempo: 00:28:10
