SISTEMA -> CPU: 83.9% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:00:26
SISTEMA -> CPU: 98.5% | RAM: 69.7% | Temp: 27.8°C | Tiempo: 00:00:48
SISTEMA -> CPU: 98.8% | RAM: 70.4% | Temp: 27.8°C | Tiempo: 00:01:19
SISTEMA -> CPU: 99.0% | RAM: 71.1% | Temp: 27.8°C | Tiempo: 00:01:56
SISTEMA -> CPU: 98.5% | RAM: 70.4% | Temp: 27.8°C | Tiempo: 00:02:16
SISTEMA -> CPU: 98.6% | RAM: 69.9% | Temp: 27.8°C | Tiempo: 00:02:37
SISTEMA -> CPU: 98.6% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:02:59
SISTEMA -> CPU: 98.5% | RAM: 69.4% | Temp: 27.8°C | Tiempo: 00:03:19
SISTEMA -> CPU: 98.6% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:03:40
SISTEMA -> CPU: 98.6% | RAM: 70.2% | Temp: 27.8°C | Tiempo: 00:04:00
SISTEMA -> CPU: 98.6% | RAM: 70.3% | Temp: 27.8°C | Tiempo: 00:04:21
SISTEMA -> CPU: 98.6% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:04:42
SISTEMA -> CPU: 98.6% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:05:03
SISTEMA -> CPU: 99.0% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 00:05:24
SISTEMA -> CPU: 98.6% | RAM: 70.1% | Temp: 27.8°C | Tiempo: 00:05:45
SISTEMA -> CPU: 98.6% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 00:06:05
SISTEMA -> CPU: 98.6% | RAM: 70.0% | Temp: 27.8°C | Tiempo: 00:06:25
SISTEMA -> CPU: 98.6% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 00:06:46
SISTEMA -> CPU: 98.6% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:07:06
SISTEMA -> CPU: 98.6% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:07:27
SISTEMA -> CPU: 98.6% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:07:48
SISTEMA -> CPU: 98.6% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:08:08
SISTEMA -> CPU: 98.6% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 00:08:29
SISTEMA -> CPU: 98.6% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:08:50
SISTEMA -> CPU: 98.6% | RAM: 69.8% | Temp: 27.8°C | Tiempo: 00:09:10
SISTEMA -> CPU: 98.6% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:09:31
