SISTEMA -> CPU: 91.0% | RAM: 40.4% | Temp: 27.8°C | Tiempo: 00:00:42
SISTEMA -> CPU: 99.0% | RAM: 40.6% | Temp: 27.8°C | Tiempo: 00:01:19
SISTEMA -> CPU: 98.9% | RAM: 40.0% | Temp: 27.8°C | Tiempo: 00:01:53
SISTEMA -> CPU: 98.6% | RAM: 40.5% | Temp: 27.8°C | Tiempo: 00:02:27
SISTEMA -> CPU: 99.0% | RAM: 40.3% | Temp: 27.8°C | Tiempo: 00:03:01
SISTEMA -> CPU: 98.9% | RAM: 40.1% | Temp: 27.8°C | Tiempo: 00:03:35
SISTEMA -> CPU: 98.9% | RAM: 40.3% | Temp: 27.8°C | Tiempo: 00:04:10
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:04:44
SISTEMA -> CPU: 98.9% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:05:19
SISTEMA -> CPU: 99.0% | RAM: 39.8% | Temp: 27.8°C | Tiempo: 00:05:55
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:06:29
SISTEMA -> CPU: 98.8% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:07:03
SISTEMA -> CPU: 98.6% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:07:38
SISTEMA -> CPU: 98.8% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:08:12
SISTEMA -> CPU: 98.8% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:08:46
SISTEMA -> CPU: 98.8% | RAM: 39.8% | Temp: 27.8°C | Tiempo: 00:09:21
SISTEMA -> CPU: 98.8% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:09:54
SISTEMA -> CPU: 98.7% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:10:28
SISTEMA -> CPU: 98.9% | RAM: 40.2% | Temp: 27.8°C | Tiempo: 00:11:02
SISTEMA -> CPU: 98.9% | RAM: 39.8% | Temp: 27.8°C | Tiempo: 00:11:36
SISTEMA -> CPU: 98.8% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:12:10
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:12:44
SISTEMA -> CPU: 98.7% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:13:18
SISTEMA -> CPU: 98.9% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:13:53
SISTEMA -> CPU: 98.8% | RAM: 39.9% | Temp: 27.8°C | Tiempo: 00:14:27
SISTEMA -> CPU: 98.8% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:15:00
SISTEMA -> CPU: 98.9% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:15:34
SISTEMA -> CPU: 98.9% | RAM: 40.0% | Temp: 27.8°C | Tiempo: 00:16:08
SISTEMA -> CPU: 98.9% | RAM: 39.9% | Temp: 27.8°C | Tiempo: 00:16:42
SISTEMA -> CPU: 98.9% | RAM: 40.0% | Temp: 27.8°C | Tiempo: 00:17:18
SISTEMA -> CPU: 98.9% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:17:52
SISTEMA -> CPU: 98.7% | RAM: 39.9% | Temp: 27.8°C | Tiempo: 00:18:27
SISTEMA -> CPU: 98.8% | RAM: 39.8% | Temp: 27.8°C | Tiempo: 00:19:01
SISTEMA -> CPU: 99.0% | RAM: 40.0% | Temp: 27.8°C | Tiempo: 00:19:37
SISTEMA -> CPU: 98.9% | RAM: 40.0% | Temp: 27.8°C | Tiempo: 00:20:10
SISTEMA -> CPU: 98.6% | RAM: 40.0% | Temp: 27.8°C | Tiempo: 00:20:45
SISTEMA -> CPU: 98.8% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:21:19
SISTEMA -> CPU: 98.9% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:21:53
SISTEMA -> CPU: 98.9% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:22:27
SISTEMA -> CPU: 98.9% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:23:02
SISTEMA -> CPU: 98.9% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:23:36
SISTEMA -> CPU: 98.7% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:24:09
SISTEMA -> CPU: 98.9% | RAM: 39.7% | Temp: 27.8°C | Tiempo: 00:24:43
SISTEMA -> CPU: 98.8% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:25:17
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:25:51
SISTEMA -> CPU: 98.8% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:26:25
SISTEMA -> CPU: 98.9% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:26:59
SISTEMA -> CPU: 98.8% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:27:33
SISTEMA -> CPU: 98.9% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:28:06
SISTEMA -> CPU: 98.9% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:28:40
SISTEMA -> CPU: 98.8% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:29:13
SISTEMA -> CPU: 98.5% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:29:48
SISTEMA -> CPU: 98.9% | RAM: 38.7% | Temp: 27.8°C | Tiempo: 00:30:21
SISTEMA -> CPU: 98.8% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:30:55
SISTEMA -> CPU: 98.8% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:31:29
SISTEMA -> CPU: 98.9% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:32:04
SISTEMA -> CPU: 98.8% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:32:38
SISTEMA -> CPU: 98.9% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:33:12
SISTEMA -> CPU: 99.0% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:33:46
SISTEMA -> CPU: 98.9% | RAM: 38.4% | Temp: 27.8°C | Tiempo: 00:34:19
SISTEMA -> CPU: 98.9% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:34:53
SISTEMA -> CPU: 98.7% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:35:30
SISTEMA -> CPU: 98.9% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:36:05
SISTEMA -> CPU: 98.8% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:36:39
SISTEMA -> CPU: 98.9% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:37:14
SISTEMA -> CPU: 98.9% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:37:48
SISTEMA -> CPU: 98.8% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:38:21
SISTEMA -> CPU: 98.9% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:38:55
SISTEMA -> CPU: 98.8% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:39:29
SISTEMA -> CPU: 98.8% | RAM: 38.4% | Temp: 27.8°C | Tiempo: 00:40:03
SISTEMA -> CPU: 98.5% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:40:37
SISTEMA -> CPU: 98.9% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:41:11
SISTEMA -> CPU: 99.0% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:41:46
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:42:20
SISTEMA -> CPU: 98.8% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:42:54
SISTEMA -> CPU: 99.0% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:43:28
SISTEMA -> CPU: 98.9% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:44:02
SISTEMA -> CPU: 98.7% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:44:36
SISTEMA -> CPU: 98.8% | RAM: 38.7% | Temp: 27.8°C | Tiempo: 00:45:10
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:45:44
SISTEMA -> CPU: 98.6% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:46:18
SISTEMA -> CPU: 98.9% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:46:52
SISTEMA -> CPU: 99.0% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:47:27
SISTEMA -> CPU: 98.9% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:48:01
SISTEMA -> CPU: 98.8% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:48:34
SISTEMA -> CPU: 98.9% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:49:08
SISTEMA -> CPU: 98.8% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:49:42
SISTEMA -> CPU: 98.0% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:50:16
SISTEMA -> CPU: 98.9% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:50:51
SISTEMA -> CPU: 98.6% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:51:25
SISTEMA -> CPU: 98.9% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:51:59
SISTEMA -> CPU: 98.9% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:52:33
SISTEMA -> CPU: 98.9% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:53:08
SISTEMA -> CPU: 98.9% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:53:41
SISTEMA -> CPU: 98.8% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:54:15
SISTEMA -> CPU: 98.9% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:54:49
SISTEMA -> CPU: 98.8% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:55:23
SISTEMA -> CPU: 98.8% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:55:57
SISTEMA -> CPU: 98.9% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:56:31
SISTEMA -> CPU: 98.5% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:57:05
SISTEMA -> CPU: 98.9% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:57:39
SISTEMA -> CPU: 98.8% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:58:13
SISTEMA -> CPU: 98.9% | RAM: 38.7% | Temp: 27.8°C | Tiempo: 00:58:46
SISTEMA -> CPU: 98.8% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:59:20
SISTEMA -> CPU: 98.9% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:59:54
SISTEMA -> CPU: 98.8% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 01:00:28
SISTEMA -> CPU: 98.9% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 01:01:02
SISTEMA -> CPU: 98.9% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 01:01:35
SISTEMA -> CPU: 99.0% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 01:02:09
SISTEMA -> CPU: 98.6% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 01:02:43
SISTEMA -> CPU: 98.9% | RAM: 38.7% | Temp: 27.8°C | Tiempo: 01:03:17
SISTEMA -> CPU: 98.9% | RAM: 38.7% | Temp: 27.8°C | Tiempo: 01:03:51
SISTEMA -> CPU: 98.8% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 01:04:25
SISTEMA -> CPU: 98.8% | RAM: 38.7% | Temp: 27.8°C | Tiempo: 01:05:00
SISTEMA -> CPU: 98.7% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 01:05:34
SISTEMA -> CPU: 99.1% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 01:06:18
SISTEMA -> CPU: 98.5% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 01:06:53
SISTEMA -> CPU: 98.9% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 01:07:27
SISTEMA -> CPU: 98.6% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 01:08:01
SISTEMA -> CPU: 98.9% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 01:08:37
